name,brand,last price
کلید مینیاتوری  C    1P      10KA    2  A  ,brand,0
کلید مینیاتوری  C    1P      10KA    4  A  ,brand,0
کلید مینیاتوری  C    1P      10KA    6  A  ,brand,0
کلید مینیاتوری  C    1P      10KA    10A  ,brand,0
کلید مینیاتوری  C    1P      10KA    16A  ,brand,0
کلید مینیاتوری  C    1P      10KA    20A  ,brand,0
کلید مینیاتوری  C    1P      10KA    25A  ,brand,0
 کلید مینیاتوری  C    1P      10KA    32A ,brand,0
 کلید مینیاتوری C    1P      10KA    40A  ,brand,0
 کلید مینیاتوری  C    1P      6  KA    50A ,brand,0
کلید مینیاتوری  C    1P      6  KA    63A  ,brand,0
کلید مینیاتوری  C    1P      15KA    80A  ,brand,0
کلید مینیاتوری  C    1P      15KA    100A ,brand,0
کلید مینیاتوری  C    1P      15KA    125A ,brand,0
کلید مینیاتوری  C    1P+N  10KA    0/5A ,brand,0
کلید مینیاتوری  C    1P+N  10KA    1A    ,brand,0
کلید مینیاتوری  C    1P+N  10KA    1/6A ,brand,0
 کلید مینیاتوری  C    1P+N  10KA    2A   ,brand,0
کلید مینیاتوری  C    1P+N  10KA    4A    ,brand,0
کلید مینیاتوری  C    1P+N  10KA    6A    ,brand,0
کلید مینیاتوری  C    1P+N  10KA    10A  ,brand,0
کلید مینیاتوری  C    1P+N  10KA    16A  ,brand,0
کلید مینیاتوری  C    1P+N  10KA    20A  ,brand,0
کلید مینیاتوری  C    1P+N  10KA    25A  ,brand,0
کلید مینیاتوری  C    1P+N  10KA    32A  ,brand,0
کلید مینیاتوری  C    1P+N  10KA    40A  ,brand,0
کلید مینیاتوری  C    1P+N  6KA      50A  ,brand,0
کلید مینیاتوری  C    1P+N  6KA      63A  ,brand,0
کلید مینیاتوری  C    2P      10KA    0/5A  ,brand,0
کلید مینیاتوری  C    2P      10KA     1  A  ,brand,0
کلید مینیاتوری  C    2P      10KA     1/6A ,brand,0
کلید مینیاتوری  C    2P      10KA     2  A  ,brand,0
کلید مینیاتوری  C    2P      10KA     4  A  ,brand,0
کلید مینیاتوری  C    2P      10KA     6  A  ,brand,0
کلید مینیاتوری  C    2P      10KA     10A  ,brand,0
کلید مینیاتوری  C    2P      10KA     16A  ,brand,0
کلید مینیاتوری  C    2P      10KA     20A  ,brand,0
کلید مینیاتوری  C    2P      10KA     25A  ,brand,0
کلید مینیاتوری  C    2P      10KA     32A  ,brand,0
کلید مینیاتوری  C    2P      10KA     40A  ,brand,0
کلید مینیاتوری  C    2P      6  KA     50A  ,brand,0
کلید مینیاتوری  C    2P      6  KA     63A  ,brand,0
کلید مینیاتوری  C    2P      10  KA   63A  ,brand,0
کلید مینیاتوری  C    3P      10KA     0/5A ,brand,0
کلید مینیاتوری  C    3P      10KA     1  A  ,brand,0
کلید مینیاتوری  C    3P      10KA     1/6A ,brand,0
کلید مینیاتوری  C    3P      10KA     2  A  ,brand,0
کلید مینیاتوری C    3P      10KA     4  A  ,brand,0
کلید مینیاتوری  C    3P      10KA     6  A  ,brand,0
 کلید مینیاتوری  C    3P      10KA     10A ,brand,0
 کلید مینیاتوری  C    3P      10KA    13A  ,brand,0
کلید مینیاتوری  C    3P      10KA    16A   ,brand,0
کلید مینیاتوری  C    3P      10KA    20A   ,brand,0
کلید مینیاتوری  C    3P      10KA    25A   ,brand,0
کلید مینیاتوری  C    3P      10KA    32A   ,brand,0
کلید مینیاتوری  C    3P      10KA    40A   ,brand,0
کلید مینیاتوری  C    3P      6  KA    50A   ,brand,0
 کلید مینیاتوری  C    3P      6  KA    63A  ,brand,0
کلید مینیاتوری  C    3P      15KA    80A   ,brand,0
کلید مینیاتوری  C    3P      15KA    100A ,brand,0
 کلید مینیاتوری  C    3P      15KA   125A ,brand,0
کلید مینیاتوری  C    3P+N  10KA   0/5A  ,brand,0
